codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4203006,Câncer,246.0,41.0
4203105,Câncer,34.0,5.0
4203204,Câncer,7.0,0.0
4203303,Câncer,22.0,7.0
4203402,Câncer,40.0,6.0
4203501,Câncer,43.0,8.0
4203600,Câncer,104.0,36.0
4203709,Câncer,9.0,5.0
4203808,Câncer,194.0,77.0
4203907,Câncer,113.0,34.0
4204103,Câncer,10.0,2.0
4204202,Câncer,19132.0,408.0
4204301,Câncer,275.0,56.0
4204400,Câncer,69.0,15.0
4204558,Câncer,14.0,1.0
4204608,Câncer,6979.0,768.0
4204707,Câncer,55.0,17.0
4204806,Câncer,111.0,32.0
4204905,Câncer,5.0,0.0
4205001,Câncer,110.0,41.0
4205308,Câncer,20.0,3.0
4205407,Câncer,16438.0,2599.0
4205506,Câncer,66.0,14.0
4205902,Câncer,177.0,20.0
4206405,Câncer,132.0,43.0
4206504,Câncer,4.0,2.0
4206603,Câncer,78.0,11.0
4206900,Câncer,361.0,45.0
4207007,Câncer,121.0,43.0
4207304,Câncer,277.0,93.0
4207502,Câncer,88.0,25.0
4207601,Câncer,36.0,16.0
4207650,Câncer,19.0,7.0
4207700,Câncer,11.0,4.0
4207809,Câncer,1.0,0.0
4207908,Câncer,5.0,1.0
4208005,Câncer,76.0,19.0
4208203,Câncer,8832.0,777.0
4208302,Câncer,24.0,5.0
4208401,Câncer,33.0,18.0
4208500,Câncer,98.0,36.0
4208708,Câncer,71.0,22.0
4208807,Câncer,53.0,16.0
4208906,Câncer,5145.0,534.0
4209003,Câncer,11703.0,380.0
4209102,Câncer,10721.0,1058.0
4209300,Câncer,6210.0,743.0
4209409,Câncer,130.0,48.0
4209607,Câncer,10.0,4.0
4209706,Câncer,26.0,4.0
4209854,Câncer,33.0,21.0
4210001,Câncer,37.0,16.0
4210035,Câncer,104.0,41.0
4210100,Câncer,360.0,34.0
4210308,Câncer,14.0,3.0
4210506,Câncer,65.0,19.0
4210605,Câncer,14.0,4.0
4210803,Câncer,41.0,10.0
4210902,Câncer,3.0,1.0
4211009,Câncer,37.0,11.0
4211108,Câncer,1.0,0.0
4211207,Câncer,35.0,3.0
4211306,Câncer,13.0,4.0
4211405,Câncer,2.0,0.0
4211504,Câncer,45.0,22.0
4211603,Câncer,29.0,2.0
4211702,Câncer,111.0,26.0
4211751,Câncer,82.0,14.0
4212007,Câncer,70.0,12.0
4212106,Câncer,169.0,25.0
4212205,Câncer,44.0,15.0
4212502,Câncer,8.0,0.0
4212601,Câncer,8.0,3.0
4212700,Câncer,8.0,4.0
4212908,Câncer,76.0,26.0
4213203,Câncer,111.0,29.0
4213302,Câncer,1.0,0.0
